Название вакансии,URL,Название компании,Описание
Программист Python,https://voronezh.hh.ru/vacancy/34247032?query=Python,ООО Дефенс Групп,"Написание парсеров данных из открытых источников. Изучение ограничений систем на сбор данных. Разработка распределенной системы сбора информации. Разработка систем автоматической... Опыт парсинга контента из сторонних ресурсов, знакомство с инструментами для этого: requests, lxml, scrapy. Образование в сфере информационной безопасности. "
Senior Python devеloper /ML engineer,https://voronezh.hh.ru/vacancy/34326551?query=Python," Агентство 21 век, КЦ","Команда 12 чел.: Quantitative Researchers, ML engineers, DevOps, QA, Pentester. Стэк: python 3, Luigi, pandas, numpy, Postgres, ClickHouse.  Богатый опыт в коммерческой разработке ПО на Python в следующих областях: распределённые вычисления, обработка терабайт+ данных, операционные системы, компиляторы или..."
Программист Python,https://voronezh.hh.ru/vacancy/34247032?query=Python,ООО Дефенс Групп,"Написание парсеров данных из открытых источников. Изучение ограничений систем на сбор данных. Разработка распределенной системы сбора информации. Разработка систем автоматической... Опыт парсинга контента из сторонних ресурсов, знакомство с инструментами для этого: requests, lxml, scrapy. Образование в сфере информационной безопасности. "
Senior Python devеloper /ML engineer,https://voronezh.hh.ru/vacancy/34326551?query=Python," Агентство 21 век, КЦ","Команда 12 чел.: Quantitative Researchers, ML engineers, DevOps, QA, Pentester. Стэк: python 3, Luigi, pandas, numpy, Postgres, ClickHouse.  Богатый опыт в коммерческой разработке ПО на Python в следующих областях: распределённые вычисления, обработка терабайт+ данных, операционные системы, компиляторы или..."
Программист Python,https://voronezh.hh.ru/vacancy/33887758?query=Python," ЭВРИКА, Санкт-Петербург","Проектирование архитектуры программных средств, согласно заданной постановке задач. Разработка, сопровождение и первичное тестирование высоконагруженных прикладных программных средств. Участие в разработке... Опыт разработки на python3, желательно с использованием PyQT. Опыт разработки на C++ будет плюсом. Знание SQL, желательно опыт работы..."
Python/Django разработчик,https://voronezh.hh.ru/vacancy/33890189?query=Python, ecomsolutions,Docker containers deployment. Experience building REST APIs. Experience with a version control system.
Программист Python (backend),https://voronezh.hh.ru/vacancy/34247053?query=Python,ООО Дефенс Групп,Поддержка backend системы отслеживания транзакции. Написание трансформ для backend на Python. Написание внутренних API модуля. Подключение к модулю внешних источников... Отличное знание Python. Знание Rest API. Опыт проектирования БД. Опыт коммерческой разработки backend от 2 лет. Git. Kanban/scrum. 
Python разработчик,https://voronezh.hh.ru/vacancy/34323597?query=Python, Ключевые ИТ Решения,"Изменение существующих и разработка новых программ и сервисов, входящих в состав автоматизированных систем управления виртуализацией: Openstack, Vmware и подобных.  Опыт модульного и интеграционного тестирования как минимум в Python. Приветствуется опыт отладки сервисов, написанных на Python. Особенно прямо на проде."
Python разработчик,https://voronezh.hh.ru/vacancy/34327591?query=Python, Sibedge,"До встречи в Sibedge! ;). Уверенное знание Python, опыт программирования от 3 лет. Опыт работы с Django (Django ORM, Django REST Framework). Опыт создания REST..."
Computer vision data scientist,https://voronezh.hh.ru/vacancy/34068961?query=Python," AROUND, Группа компаний","По видеокадрам детектировать людей и идентифицировать лицо человека. Оптимизировать алгоритм идентификации лиц, определения эмоций, пола, возраста. Идентификация лиц на больших... Алгоритмы распознавания лиц. Кластеризация изображений. Docker. Сегментация изображений и детекция объектов. Python, tensorflow, keras, postgres. Опыт использования нейросетей в задачах..."
Python-разработчик,https://voronezh.hh.ru/vacancy/33973680?query=Python, Digitalist PC," Самостоятельность и инициативность. Опыт работы с вышеупомянутым стеком от 2 лет. Будет плюсом: Знание методологий управления проектами (Agile, Scrum, Kanban..."
Программист Python,https://voronezh.hh.ru/vacancy/32307739?query=Python,ООО Тензор, Знание Python. Опыт работы с базами данных. Понимание принципов ООП. Плюсом будет: Опыт разработки высоконагруженных систем. Опыт кроссплатформенной разработки.
Junior Python разработчик,https://voronezh.hh.ru/vacancy/33876623?query=Python, amoCRM,"Задачи, с которыми придется столкнуться в первую очередь: написание тестов/автотестов, решение багов и простых задач. В последствии разработка нового... Потребуется: Знание Python (есть практический опыт и результаты, не обязательно коммерческие). Опыт написания SQL запросов (желательно умение работать со связями). "
Python developer,https://voronezh.hh.ru/vacancy/30005963?query=Python, NetworkOptix,"Исследование проблем в работе тестируемого продукта с помощью различных инструментов. Библиотека для тестирования — Python-проект для работы с виртуальными машинами... Умение и опыт работы в команде. Уверенные знания Python. Опыт разработки под Linux, знание командной строки Linux. Наличие примеров кода. "
Разработчик Python,https://voronezh.hh.ru/vacancy/33879341?query=Python,АО ФинТех,"Разработка серверного программного обеспечения на языке Python (средства защиты информации, средства мониторинга состояния технических и программных средств, управление конфигурациями центра... Работа на указанной позиции от 2-х лет. Уверенное знание Python 3. Владение ОС GNU/Linux. Опыт работы с Ansible. "
Разработчик Python,https://voronezh.hh.ru/vacancy/33610810?query=Python," Вяртсиля, Центр цифровых технологий","Разработка, внедрение и сопровождение фреймворков, библиотек, сетевых сервисов и программных эмуляторов для задач системной интеграции и автоматизированного тестирования. Уверенное владения Python 3. Знание основ и шаблонов проектирования ПО, понимания ООП. Понимание основных алгоритмов и структур данных. "
Python developer,https://voronezh.hh.ru/vacancy/34182123?query=Python, Antal Russia,"Разработка ПО для автоматизации разворачивания нового оборудования и мониторинга. Стек: Python3, Go, shell + понимание сетевых протоколов (TCP/IP и др). Python от 4 лет. Владение хотя бы..."
Python разработчик / Python software developer,https://voronezh.hh.ru/vacancy/33416348?query=Python, Cindicator,Про процесс интервью: Два подряд идущих интервью на способность решения брейнтизеров: загадки из разных областей программирования и логики.  Богатый опыт в коммерческой разработке ПО на Python. Он может быть связан с любой из этих областей (или сразу со...
Программист Python,https://voronezh.hh.ru/vacancy/29773167?query=Python, ФОГСТРИМ,"Сопровождать/писать с нуля различные веб-сервисы на Python/Django. Python/Django. Знаете, что такое декораторы, middleware, prefetch_related, Q и F объекты. JavaScript: jQuery, Ajax. В идеале еще и ExtJS..."
Data Analyst/Computer Vision Engineer,https://voronezh.hh.ru/vacancy/34336032?query=Python,ООО СКАЙТРЭК,"Определение заблюренности изображений (blurred image classification). Улучшение существующих алгоритмов классификации изображений, детекции объектов на изображении, сегментации изображений и т.д.  ...библиотеки на Python. Опыт или навыки обучения алгоритмов ML (в большинстве своем нейронных сетей) применительно к изображениям. Владение Python в..."
Python-разработчик/ Python Developer,https://voronezh.hh.ru/vacancy/34145349?query=Python, BestDoctor,Backend-разработка внутренних продуктов. Участие в формировании технической стратегии BestDoctor и ее реализация. Проведение code review. Покрытие кодовой базы тестами. Опыт web-разработки на Python от 2-х лет. Опыт работы с Django от 1-го года. Хорошее знание Git...
Python developer,https://voronezh.hh.ru/vacancy/33396538?query=Python, Big Data Solutions,"Разработка python пакет/API с pandas like синтаксисом для анализа time series финансовых данных (market data) используя enterprise time series... Strong python 3. Знакомство с pytest, умение писать unit test-ы и вести разработку через TDD. Умение писать документацию на..."
Python Trainee,https://voronezh.hh.ru/vacancy/33442047?query=Python, DataArt,"Обучение английскому языку: курсы, общение с коллегами и клиентами из разных стран. - Поддержка докладчиков, выступающих на конференциях и встречах технологических... Базовые знания Python. Базовые знания SQL. Базовые знания Linux. Базовые знания JavaScript, HTML, CSS. Разговорный английский. БУДЕТ ПЛЮСОМ. "
Python разработчик,https://voronezh.hh.ru/vacancy/33955200?query=Python, CS.MONEY,"Проектировать, разрабатывать и поддерживать веб-сервисы на языке Python с использованием Flask. Профилировать и оптимизировать код. Разрабатывать сложные системы взаимодействия... Отличные знания Python 3, Flask, SQL. Опыт в написание тестов (pytest, unittest). Понимание разницы между SQL/noSQL базами данных. "
Python developer,https://voronezh.hh.ru/vacancy/33271493?query=Python,ООО Капитал, Знание английского языка на уровне чтения технической документации. Опыт работы с Python: 1+ года. Опыт работы с MVC фреймворками. 
Python разработчик,https://voronezh.hh.ru/vacancy/34306478?query=Python, OneTwoTrip,"Продумывание архитектуры python-приложений и воплощение в коде. Разработка, поддержка и мониторинг сервисов, связанных с отправками email/push сообщений. Работали с python-сервисами от 2х лет в коммерческом проекте и отлично знаете язык. Работали с RDBMS, например PostgreSQL. "
